Company Name,Share Price,Change,Percentage change,Market Capitalization
"Discovery, Inc.",57.95 Dollars,+28.35,+95.77702%,10491789312 billion dollars
Liberty Global plc,32 Dollars,+12.440001,+63.599186%,20540542976 billion dollars
Liberty Global plc,21.49 Dollars,+3.4899998,+19.388887%,13831910400 billion dollars
Liberty Global plc,22.28 Dollars,+3.4500008,+18.32183%,13520729088 billion dollars
ASGN Incorporated,53.04 Dollars,+5.049999,+10.523024%,2811120128 billion dollars
Bandwidth Inc.,89.22 Dollars,+10.599998,+13.482572%,2108607616 billion dollars
The Stars Group Inc.,29.11 Dollars,+2.6599998,+10.05671%,8487777792 billion dollars
Wheaton Precious Metals Corp.,41.1 Dollars,+0.7199974,+1.7830545%,18592200704 billion dollars
Afterpay Limited,20.37 Dollars,+1.5799999,+8.408728%,5656402944 billion dollars
"Abiomed, Inc.",183.49 Dollars,+14.210007,+8.394381%,8268555264 billion dollars
Flutter Entertainment plc,64.345 Dollars,+4.9050026,+8.252024%,10175003648 billion dollars
WH Group Limited,1 Dollars,+0.07499999,+8.108107%,15359200256 billion dollars
Bio-Techne Corporation,227.54 Dollars,+16.36,+7.7469463%,8726545408 billion dollars
"Tandem Diabetes Care, Inc.",80.22 Dollars,+5.6500015,+7.5767756%,4818871808 billion dollars
Nokia Corporation,3.7 Dollars,+0.26,+7.5581393%,20441946112 billion dollars
"Fortune Brands Home & Security, Inc.",51.5 Dollars,+-0.02999878,+-0.058216147%,7194859008 billion dollars
Insmed Incorporated,22.42 Dollars,+1.3700008,+6.508318%,2015071616 billion dollars
"Telefonica, S.A.",4.85 Dollars,+0.19000006,+4.077255%,23753603072 billion dollars
ISS A/S,7.354 Dollars,+0.43900013,+6.34852%,2665325056 billion dollars
Emergent BioSolutions Inc.,78.7 Dollars,+4.75,+6.4232593%,4113365504 billion dollars
Centrais Eletricas Brasileiras S.A. - Eletrobras,5.07 Dollars,+-0.029999733,+-0.5882301%,7809067520 billion dollars
Incitec Pivot Limited,1.43 Dollars,+0.07999992,+5.92592%,2431271424 billion dollars
Novozymes A/S,50.27 Dollars,+2.75,+5.787037%,14133260288 billion dollars
Gold Fields Limited,7.75 Dollars,+-0.27000046,+-3.366589%,7104370688 billion dollars
PT Sarana Menara Nusantara Tbk,0.056 Dollars,+0.0030000024,+5.660382%,3113650432 billion dollars
